     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
14.4 |       72     6260 |    4    25    0     3
14.5 |       72     6260 |    0    22    0     3
14.6 |       72     6260 |    0    22    0     3
14.7 |       69     6260 |    7    22    0     3
14.8 |       69     6261 |    4    22    0     3
14.9 |       76     6262 |   14    22    1     3
15.0 |       76     6262 |    1    22    0     3
15.1 |       76     6262 |    0    22    0     3
15.2 |       76     6262 |    0    22    0     3
15.3 |       75     6263 |    1    22    0     3
15.4 |       75     6263 |    1    22    0     3
15.5 |       75     6263 |    0    22    0     3
15.6 |       75     6263 |    1    22    0     3
15.7 |       75     6263 |    0    22    0     3
15.8 |       75     6263 |    0    22    0     3
15.9 |       75     6263 |    0    22    0     3
16.0 |       75     6263 |    0    22    0     3
16.1 |       75     6263 |    0    22    0     3
16.2 |       74     6263 |    0    22    0     3
16.3 |       74     6263 |    0    22    0     3
16.4 |       74     6263 |    0    22    0     3
16.5 |       74     6263 |    0    18    0     2
16.6 |       74     6263 |    0    18    0     2
16.7 |       74     6263 |    0    18    0     2
16.8 |       74     6263 |    0    18    0     2
16.9 |       74     6263 |    0    18    0     2
17.0 |       74     6263 |    0    18    0     2
17.1 |       74     6263 |    1    18    0     2
17.2 |       73     6264 |    1    18    0     2
17.3 |       73     6264 |    0    18    0     2
17.4 |       73     6264 |    0    18    0     2
17.5 |       73     6264 |    0    18    0     2
17.6 |       73     6264 |    0    18    0     2
17.7 |       73     6264 |    0    18    0     2
17.8 |       73     6264 |    0    18    0     2
17.9 |       73     6264 |    0    18    0     2
18.0 |       73     6264 |    0    18    0     2
18.1 |       73     6264 |    0    18    0     2
18.2 |       73     6264 |    0    18    0     2
18.3 |       73     6264 |    0    18    0     2
18.4 |       72     6264 |    0    18    0     2
18.5 |       72     6264 |    0    15    0     2
18.6 |       73     6264 |    0    15    0     2
18.7 |       73     6264 |    0    15    0     2
18.8 |       72     6264 |    0    15    0     2
18.9 |       72     6264 |    0    15    0     2
19.0 |       72     6264 |    0    15    0     2
19.1 |       70     6264 |    0    15    0     2
19.2 |       94     6264 |   22    15    7     2
19.3 |       94     6264 |    0    15    0     2
19.4 |       94     6264 |    0    15    0     2
19.5 |       94     6264 |    0    15    0     2
19.6 |       94     6264 |    0    15    0     2
19.7 |       94     6264 |    0    15    0     2
19.8 |       94     6264 |    0    15    0     2
19.9 |       94     6264 |    0    15    0     2
20.0 |       94     6264 |    0    15    0     2
20.1 |       94     6264 |    0    15    0     2
20.2 |       94     6264 |    0    15    0     2
20.3 |       91     6265 |   11    15    0     2
20.4 |       87     6266 |   12    13    0     1
20.5 |       83     6269 |   36    13    0     1
20.6 |       78     6270 |   22    13    0     1
20.7 |       85     6269 |   30    13    3     1
20.8 |       92     6261 |   18    13    0     1
20.9 |       90     6262 |    4    13    0     1
21.0 |       89     6262 |    5    13    0     1
21.1 |       89     6262 |    0    13    0     1
21.2 |       89     6262 |    0    13    0     1
21.3 |       89     6262 |    0    13    0     1
21.4 |       89     6262 |    0    13    0     1
21.5 |       89     6262 |    0    13    0     1
21.6 |       87     6263 |    3    13    0     1
21.7 |       85     6263 |    2    13    0     1
21.8 |       84     6264 |   22    13    0     1
21.9 |       85     6265 |    4    13    0     1
22.0 |       83     6265 |    3    13    0     1
22.1 |       84     6266 |    0    13    0     1
22.2 |       84     6266 |    0    13    0     1
22.3 |       84     6266 |    0    13    0     1
22.4 |       84     6266 |    0    11    0     1
22.5 |       84     6266 |    0    11    0     1
22.6 |       84     6266 |    2    11    0     1
22.7 |       83     6266 |    0    11    0     1
22.8 |       83     6266 |    0    11    0     1
22.9 |       83     6266 |    0    11    0     1
23.0 |       82     6266 |    0    11    0     1
23.1 |       82     6266 |    0    11    0     1
23.2 |       82     6266 |    0    11    0     1
23.3 |       81     6266 |    0    11    0     1
23.4 |       81     6266 |    0    11    0     1
23.5 |       81     6266 |    1    11    0     1
23.6 |       80     6266 |    0    11    0     1
23.7 |       80     6266 |    0    11    0     1
23.8 |       80     6266 |    0    11    0     1
23.9 |       80     6266 |    0    11    0     1
24.0 |       80     6266 |    0    11    0     1
24.1 |       80     6266 |    0    11    0     1
24.2 |       80     6266 |    0    11    0     1
24.3 |       79     6266 |    0    11    0     1
24.4 |       79     6266 |    0     9    0     1
24.5 |       79     6266 |    0     9    0     1
24.6 |       79     6266 |    0     9    0     1
24.7 |       79     6266 |    0     9    0     1
24.8 |       79     6266 |    0     9    0     1
24.9 |       79     6266 |    0     9    0     1
25.0 |       79     6266 |    0     9    0     1
25.1 |       79     6266 |    0     9    0     1
25.2 |       78     6267 |    0     9    0     1
25.3 |       79     6267 |   11     9    0     1
25.4 |       95     6254 |   50     9    0     1
25.5 |       97     6255 |   53     9    0     1
25.6 |       93     6256 |   65     9    0     1
25.7 |       87     6258 |   66     9    0     1
25.8 |       79     6259 |   61     9    0     1
25.9 |       88     6257 |   72     9    1     1
26.1 |       84     6259 |   78     9    0     1
26.2 |       81     6260 |   86     9    0     1
26.3 |       90     6255 |   72     9    0     1
26.4 |       92     6250 |   98     9    0     1
26.5 |       88     6251 |   70    15    0     0
26.6 |       84     6253 |   79    15    0     0
26.7 |       82     6257 |   77    15    0     0
26.8 |       78     6260 |   52    15    0     0
26.9 |       79     6258 |   48    15    1     0
27.0 |       82     6254 |   51    15    1     0
27.1 |       88     6251 |   51    15    3     0
27.2 |       90     6250 |   61    15    0     0
27.3 |      101     6246 |   52    15    0     0
27.4 |       99     6248 |   42    15    0     0
27.5 |       96     6250 |   41    15    0     0
27.6 |       92     6250 |   34    15    0     0
27.7 |       89     6252 |   42    15    0     0
27.8 |       97     6249 |   70    15    2     0
27.9 |      106     6242 |   96    15    1     0
28.0 |      110     6240 |   66    15    0     0
28.1 |       96     6241 |   39    15    0     0
28.2 |       90     6243 |   46    15    0     0
28.3 |      100     6237 |   75    15    5     0
28.4 |       98     6240 |   51    15    0     0
28.5 |       97     6243 |   49    22    0     0
28.6 |       96     6245 |   34    22    0     0
28.7 |       92     6247 |   55    22    0     0
28.8 |       99     6248 |   37    22    0     0
28.9 |       96     6257 |   18    22    0     0
29.0 |       93     6258 |   30    22    0     0
29.1 |       91     6259 |   26    22    0     0
29.2 |       91     6247 |   42    22    9     0
29.3 |       99     6246 |   33    22    0     0
29.4 |       98     6247 |    7    22    0     0
29.5 |       97     6247 |    1    22    0     0
29.6 |       97     6247 |    3    22    0     0
29.7 |       94     6250 |   15    22    0     0
29.8 |       93     6250 |    1    22    0     0
29.9 |       93     6250 |    0    22    0     0
30.0 |       93     6251 |    2    22    0     0
30.1 |       91     6252 |    1    22    0     0
30.2 |       97     6252 |   16    22    2     0
30.3 |       99     6231 |   60    22    5     0
30.4 |      111     6218 |   50    22    0     0
30.5 |      114     6218 |   71    22    0     0
30.6 |      117     6218 |   16    22    0     0
30.7 |      119     6219 |    0    22    0     0
30.8 |      119     6219 |    0    22    0     0
30.9 |      119     6219 |    0    22    0     0
31.0 |      119     6219 |    0    22    0     0
31.1 |      118     6219 |    0    22    0     0
31.2 |      118     6219 |    0    22    0     0
31.3 |      118     6219 |    0    22    0     0
31.4 |      118     6219 |    0    22    0     0
31.5 |      118     6219 |    0    22    0     0
31.6 |      117     6219 |   31    22    0     0
31.7 |      116     6219 |    1    22    0     0
31.8 |      115     6221 |    7    22    0     0
31.9 |      114     6221 |    4    22    0     0
32.0 |      114     6221 |    0    22    0     0
32.1 |      114     6221 |    0    22    0     0
32.2 |      115     6221 |    0    22    0     0
32.3 |      115     6221 |    0    22    0     0
32.4 |      115     6221 |    0    22    0     0
32.5 |      115     6221 |    0    19    0     0
32.6 |      115     6221 |    0    19    0     0
32.7 |      115     6221 |    0    19    0     0
32.8 |      115     6221 |    0    19    0     0
32.9 |      115     6221 |    0    19    0     0
33.0 |      115     6221 |    0    19    0     0
33.1 |      115     6221 |    0    19    0     0
33.2 |      115     6221 |    0    19    0     0
33.3 |      115     6221 |    0    19    0     0
33.4 |      115     6221 |    0    19    0     0
33.5 |      115     6221 |    0    19    0     0
