     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
14.3 |       83     6222 |   67    31    6     4
14.4 |       86     6206 |   71    31    4     4
14.5 |       93     6199 |   96    31    2     4
14.6 |      100     6151 |  100    31    3     4
14.8 |       61     6132 |   76    31    2     4
14.9 |       66     6127 |  108    31    6     4
15.0 |       74     6127 |   95    31    3     4
15.1 |       79     6126 |  100    31    3     4
15.2 |       77     6121 |  101    31    5     4
15.3 |       80     6105 |  123    31    7     4
15.4 |       89     6086 |  100    31    8     4
15.6 |       92     6081 |  184    41    7     4
15.7 |       91     6065 |  100    41   10     4
15.9 |       60     6054 |  125    41   16     4
16.0 |       59     6043 |   66    41    3     4
16.1 |       64     6036 |   98    41    8     4
16.2 |       70     6025 |   86    41    6     4
16.3 |       71     6005 |  148    41    0     4
16.4 |       70     5998 |   80    41    3     4
16.6 |       72     5985 |   75    41    8     4
16.7 |       69     5936 |  123    41    4     4
16.9 |       61     5930 |  168    41    1     4
17.1 |       65     5925 |  218    41   14     4
17.2 |       64     5903 |  120    41   11     4
17.3 |       65     5893 |   92    41    3     4
17.5 |       66     5876 |  105    41   13     4
17.6 |       68     5867 |   76    49   13     4
17.8 |       52     5835 |  220    49    6     4
17.9 |       56     5830 |  107    49    6     4
18.0 |       54     5821 |  117    49    9     4
18.1 |       54     5812 |   86    49   11     4
18.2 |       53     5794 |   99    49   10     4
18.3 |       53     5775 |   96    49   10     4
18.5 |       65     5766 |  145    49   17     4
18.6 |       75     5761 |   99    49    1     4
18.7 |       70     5741 |  100    49    5     4
18.8 |       69     5722 |   75    49    3     4
18.9 |       69     5721 |   96    49    1     4
19.0 |       71     5700 |  109    49    4     4
19.1 |       71     5696 |  110    49    6     4
19.2 |       75     5687 |   99    49    4     4
19.3 |       79     5674 |   87    49    2     4
19.4 |       78     5666 |   93    49   12     4
19.5 |       77     5656 |   58    49    8     4
19.6 |       79     5633 |   74    56    2     5
19.8 |       77     5622 |  112    56   11     5
19.9 |       77     5612 |   82    56   10     5
20.0 |       79     5602 |   81    56   11     5
20.1 |       76     5589 |  127    56   11     5
20.2 |       80     5564 |  103    56   12     5
20.3 |       69     5555 |  106    56    6     5
20.4 |       76     5555 |   99    56   33     5
20.5 |       74     5554 |  100    56   22     5
20.6 |       76     5537 |  194    56   74     5
20.8 |       75     5533 |  102    56   12     5
21.0 |       73     5527 |  110    56   48     5
21.1 |       74     5520 |   95    56   47     5
21.2 |       75     5516 |  120    56   72     5
21.3 |       79     5513 |  145    56   62     5
21.4 |       73     5497 |   84    56   29     5
21.5 |       69     5480 |  138    63   16     8
21.7 |       66     5451 |  116    63    2     8
21.8 |       65     5446 |  103    63   49     8
21.9 |       65     5442 |   87    63    4     8
22.0 |       68     5436 |   80    63    3     8
22.1 |       67     5425 |   84    63   22     8
22.2 |       57     5418 |  109    63    6     8
22.3 |       51     5408 |  126    63    6     8
22.5 |       45     5390 |  141    63   15     8
22.7 |       45     5376 |   73    63    6     8
22.8 |       43     5364 |  101    63   19     8
