     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -
[...]
23.2 |       82     4729 |  158    76  126    49
23.3 |       83     4722 |  110    76   80    49
23.4 |       82     4715 |  107    76   73    49
23.5 |       82     4709 |  148    80  129    52
23.7 |       82     4703 |  103    80   71    52
23.8 |       82     4688 |  114    80   45    52
23.9 |       81     4677 |  106    80   61    52
24.0 |       82     4671 |  166    80  142    52
24.2 |       82     4666 |  110    80   89    52
24.3 |       82     4660 |  113    80   83    52
24.4 |       82     4651 |  140    80   99    52
24.5 |       82     4643 |  100    80   73    52
24.6 |       81     4638 |  121    80   91    52
24.8 |       81     4627 |  108    80   77    52
24.9 |       81     4623 |  104    80   87    52
25.0 |       81     4617 |  118    80   90    52
25.1 |       82     4613 |  113    80   94    52
25.2 |       82     4605 |  126    80   94    52
25.3 |       82     4597 |  111    80   80    52
25.4 |       81     4577 |  106    80   23    52
25.5 |       81     4568 |  106    84   74    55
25.7 |       81     4554 |  110    84   64    55
25.8 |       81     4543 |  140    84  110    55
25.9 |       80     4534 |  127    84   94    55
26.0 |       80     4529 |  104    84   78    55
26.1 |       80     4521 |  141    84  100    55
26.3 |       80     4514 |  104    84   74    55
26.4 |       80     4507 |  103    84   74    55
26.5 |       82     4496 |  103    84   55    55
26.6 |       79     4474 |  100    84   23    55
26.7 |       80     4454 |  104    84   18    55
26.8 |       79     4447 |  102    84   69    55
26.9 |       79     4440 |  108    84   73    55
27.0 |       79     4434 |  126    84   96    55
27.1 |       79     4428 |  111    84   81    55
27.2 |        1     4421 |  106    84   54    55
27.3 |        6     4415 |  166    84  124    55
27.5 |       12     4408 |  148    87  103    57
27.7 |       21     4396 |  349    87  266    57
28.0 |       27     4388 |  187    87  133    57
28.2 |       39     4376 |  171    87   76    57
28.4 |       59     4354 |  463    87  297    57
28.8 |       63     4349 |  124    87   91    57
29.0 |       74     4332 |  190    87  152    57
29.4 |       75     4326 |  403    87  299    57
29.6 |       75     4317 |  105    89   63    59
29.7 |       75     4302 |  152    89   90    59
29.8 |       74     4296 |  108    89   70    59
29.9 |       75     4282 |  138    89   88    59
30.1 |       75     4277 |  114    89   74    59
30.2 |       74     4257 |  160    89   88    59
30.3 |       74     4249 |  101    89   58    59
30.4 |       74     4244 |  114    89   83    59
30.5 |       75     4236 |  114    89   75    59
30.7 |       75     4227 |  106    89   63    59
30.8 |       74     4218 |  117    89   88    59
30.9 |       74     4212 |  174    89  138    59
31.1 |       75     4205 |  104    89   70    59
31.2 |       75     4198 |  116    89   84    59
31.3 |       74     4194 |  118    89   89    59
31.4 |       74     4185 |  103    89   74    59
31.5 |       74     4172 |  109    89   70    59
31.6 |       75     4159 |  120    91   52    60
31.7 |       75     4150 |  121    91   80    60
31.9 |       75     4140 |  275    91  226    60
32.1 |       75     4134 |  104    91   71    60
32.2 |       74     4129 |  106    91   79    60
32.3 |       75     4123 |  122    91   98    60
32.5 |       75     4116 |  111    91   81    60
32.6 |       75     4110 |  107    91   80    60
32.7 |       74     4087 |  234    91  142    60
32.9 |       74     4080 |  101    91   70    60
33.0 |       76     4060 |  106    91   63    60
33.1 |       75     4051 |  117    91   89    60
33.2 |       75     4043 |  104    91   68    60
33.3 |       76     4032 |  105    91   60    60
33.5 |       12     4024 |  129    91   77    60
33.6 |       17     4017 |  220    92  176    62
33.8 |       23     4009 |  168    92  118    62
34.0 |       27     4002 |  169    92  125    62
34.1 |       27     3987 |  154    92  104    62
34.4 |       24     3975 |  162    92  119    62
34.5 |       28     3967 |  128    92   93    62
34.6 |       33     3961 |  100    92   60    62
34.7 |       39     3952 |  178    92  127    62
34.9 |       47     3942 |  194    92  123    62
35.1 |       52     3933 |  109    92   63    62
35.2 |       57     3927 |  196    92  147    62
35.4 |       59     3924 |  126    92  109    62
35.5 |       63     3919 |  139    92  104    62
35.6 |       69     3911 |  100    94   66    63
35.8 |       71     3907 |  191    94  149    63
35.9 |       75     3901 |  244    94  200    63
36.2 |       75     3893 |  111    94   74    63
36.3 |       75     3885 |  117    94   76    63
36.4 |        7     3857 |  701    94  499    63
37.1 |       17     3833 |  539    94  389    63
37.7 |       15     3815 |  259    95  197    65
37.9 |       17     3810 |  164    95  139    65
38.1 |       17     3799 |  122    95   68    65
58.3 |       76     2612 | 20261    99 14409    70
58.4 |       74     2606 |  119    99   95    70
58.6 |       76     2602 |  105    99   76    70
58.7 |       76     2595 |  122    99   89    70
58.8 |       75     2586 |  102    99   59    70
58.9 |       76     2578 |  118    99   80    70
59.0 |       75     2569 |  101    99   69    70
59.1 |       77     2551 |  109    99   38    70
59.2 |       77     2550 |  101    99   77    70
59.3 |       76     2536 |  127    99   50    70
59.5 |       76     2532 |  140    99  106    70
59.6 |       76     2515 |  116    99   57    69
59.7 |       76     2505 |  124    99   88    69
59.8 |       75     2497 |  116    99   93    69
60.0 |       76     2492 |  100    99   82    69
60.1 |       77     2489 |  121    99   96    69
60.2 |       76     2486 |  125    99  107    69
60.3 |       76     2480 |  107    99   81    69
60.4 |       76     2474 |  102    99   75    69
60.5 |       76     2465 |  140    99  112    69
60.7 |       76     2461 |  116    99   97    69
60.8 |       76     2451 |  103    99   70    69
60.9 |       76     2444 |  164    99  131    69
61.0 |       76     2437 |  107    99   80    69
61.1 |       76     2429 |  100    99   74    69
61.2 |       76     2424 |  113    99   83    69
61.4 |       77     2419 |  117    99   89    69
61.5 |       77     2411 |  149    99  114    69
61.6 |       76     2407 |  102    99   80    70
61.7 |       76     2401 |  162    99  145    70
61.9 |       76     2394 |  100    99   80    70
62.0 |       76     2390 |  111    99   88    70
62.1 |       76     2381 |  182    99  150    70
62.3 |       76     2375 |  135    99  101    70
62.4 |       76     2365 |  107    99   56    70
62.5 |       76     2352 |  106    99   70    70
62.6 |       76     2346 |  100    99   73    70
62.7 |       76     2338 |  187    99  138    70
62.9 |       76     2334 |  118    99   96    70
63.0 |       76     2328 |  123    99   94    70
63.2 |       76     2320 |  105    99   80    70
63.3 |       76     2308 |  203    99  153    70
